iter	Passed	Remaining
418	1938	2688
419	1939	2678
420	1940	2668
421	1941	2658
422	1944	2652
423	1945	2643
424	1946	2633
425	1947	2624
426	1948	2614
427	1949	2605
428	1950	2595
429	1951	2586
430	1952	2577
431	1953	2567
432	1954	2559
433	1954	2549
434	1955	2539
435	1955	2529
436	1956	2520
437	1956	2510
438	1959	2504
439	1981	2522
440	1983	2514
441	1984	2505
442	1984	2495
443	1985	2486
444	1987	2478
445	1988	2470
446	1990	2462
447	1991	2453
448	1991	2444
449	1992	2434
450	1992	2425
451	1993	2416
452	1993	2407
453	1993	2397
454	1994	2388
455	1995	2380
456	1995	2371
457	1996	2362
458	1996	2353
459	1997	2344
460	1998	2336
461	1998	2327
462	2001	2321
463	2002	2313
464	2007	2309
465	2008	2301
466	2009	2293
467	2010	2284
468	2011	2276
469	2011	2268
470	2012	2260
471	2013	2251
472	2013	2243
473	2015	2236
474	2015	2227
475	2016	2220
476	2019	2214
477	2020	2206
478	2021	2198
479	2023	2192
480	2024	2184
481	2025	2176
482	2025	2168
483	2027	2161
484	2028	2154
485	2031	2148
486	2033	2141
487	2033	2133
488	2034	2125
489	2034	2117
490	2068	2144
491	2079	2147
492	2080	2139
493	2080	2131
494	2095	2138
495	2096	2130
496	2097	2122
497	2102	2119
498	2103	2111
499	2103	2103
500	2104	2096
501	2105	2088
502	2106	2081
503	2107	2073
504	2107	2066
505	2108	2058
506	2109	2051
507	2206	2136
508	2206	2128
509	2207	2121
510	2208	2113
511	2211	2107
512	2213	2100
513	2213	2093
514	2214	2085
515	2216	2078
516	2217	2071
517	2244	2088
518	2255	2090
519	2260	2086
520	2261	2079
521	2262	2071
522	2263	2064
523	2264	2057
524	2267	2051
525	2268	2044
526	2269	2037
527	2270	2029
528	2274	2025
529	2275	2018
530	2277	2011
531	2278	2004
532	2279	1996
533	2279	1989
534	2280	1982
535	2281	1974
536	2282	1967
537	2291	1967
538	2293	1961
539	2294	1954
540	2295	1947
541	2297	1941
542	2298	1934
543	2299	1927
544	2303	1923
545	2305	1916
546	2306	1910
547	2307	1902
548	2308	1896
549	2309	1889
550	2310	1882
551	2311	1875
552	2311	1868
553	2312	1861
554	2313	1854
555	2315	1848
